rank_crps,rank_mase,model,crps_ratio,mase_ratio,n_configs
1,1,EXAONE-Forecast-Agent,0.4185,0.6099,97
2,5,TurkForecast-FM-Chronos2-LoRA-v1,0.4230,0.6582,97
3,2,STRIDE_w_Synapse,0.4233,0.6254,97
4,4,CastStar,0.4453,0.6552,97
5,3,LS-Agent,0.4476,0.6548,97
6,6,limix_moe,0.4528,0.6594,97
7,19,STRIDE (+Chronos-2),0.4544,0.6745,97
8,10,Falcon-Agent,0.4544,0.6658,97
9,7,ForecastMate,0.4554,0.6606,97
10,8,RAES-Conductance-Ensemble,0.4555,0.6630,97
11,12,TimesFM-3,0.4557,0.6668,97
12,9,FastCastrage,0.4559,0.6658,97
13,16,RacineCast-1-NC,0.4596,0.6719,97
14,15,RacineCast-1,0.4598,0.6716,97
15,17,EXAONE-Forecast,0.4600,0.6733,97
16,86,tempo_ensemble,0.4616,0.7878,97
17,28,metis-autocast,0.4621,0.6796,97
18,24,Cobra-Agent,0.4624,0.6782,97
19,21,Toto-2.0-FnF,0.4634,0.6762,97
20,25,Toto-2.0-2.5B-FT,0.4634,0.6791,97
21,18,STRIDE (+Timer-S1),0.4635,0.6744,97
22,13,Taichu-TimeSeries-Agent,0.4635,0.6694,97
23,14,RAES-Conductance-Ensemble-V,0.4638,0.6708,97
24,29,Prism,0.4659,0.6804,97
25,30,DeOSAlphaTimeGPTPredictor-2025,0.4663,0.6815,97
26,23,TiRex-2-Pretrained,0.4669,0.6777,97
27,31,Granite-PatchTST-FM-r2,0.4672,0.6846,97
28,22,TSOrchestra,0.4680,0.6768,97
29,20,TimeRouter,0.4696,0.6746,97
30,27,HistRoute-CV,0.4697,0.6794,97
31,26,MoiraiAgent-leaking,0.4717,0.6792,97
32,34,Credence,0.4722,0.6907,97
33,44,TSOrchestra-test,0.4740,0.6981,97
34,33,MoiraiAgent,0.4756,0.6887,97
35,39,Toto-2.0-2.5B,0.4759,0.6956,97
36,43,Samay,0.4770,0.6980,97
37,78,CHARM,0.4776,0.7582,97
38,41,TiRex-2-Zeroshot,0.4781,0.6973,97
39,46,Toto-2.0-1B,0.4784,0.6992,97
40,45,Synapse,0.4794,0.6986,97
41,37,Zeus,0.4803,0.6931,97
42,36,tafsut,0.4809,0.6926,97
43,51,Toto-2.0-313m,0.4814,0.7028,97
44,47,EFG-base,0.4816,0.7006,97
45,35,ZooCast-Top1,0.4822,0.6922,97
46,54,PatchTST-FM-r1,0.4829,0.7069,97
47,53,TimeCopilot,0.4831,0.7051,97
48,38,Timer-s1,0.4853,0.6934,97
49,42,chronos-2,0.4854,0.6978,97
50,32,Falcon-X,0.4857,0.6873,97
51,11,Falcon-2.0,0.4863,0.6660,97
52,50,FlowState-r1.1,0.4866,0.7015,97
53,62,Granite-PatchTST-FM-r1,0.4877,0.7171,97
54,48,Xihe-ultra,0.4880,0.7011,97
55,61,TiRex,0.4885,0.7158,97
56,49,Granite-FlowState-r1.1,0.4901,0.7014,97
57,52,TimesFM-2.5,0.4903,0.7050,97
58,57,Xihe-max,0.4905,0.7109,97
59,56,LongSeer-v1.0,0.4907,0.7101,97
60,66,t0-alpha,0.4941,0.7240,97
61,64,chronos-2-synth,0.4958,0.7203,97
62,63,Toto-2.0-22m,0.4963,0.7188,97
63,60,VISIT-2.0,0.4996,0.7138,97
64,67,FlowState-9.1M,0.5019,0.7262,97
65,84,xLSTM-Mixer,0.5099,0.7804,97
66,59,TTM-R3-FT,0.5111,0.7133,97
67,69,Moirai2,0.5164,0.7281,97
68,72,Toto_Open_Base_1.0,0.5173,0.7501,97
69,65,TTM-R3-PT,0.5195,0.7240,97
70,76,Toto-2.0-4m,0.5242,0.7565,97
71,85,TempoPFN,0.5327,0.7875,97
72,80,recursive-moirai-2,0.5345,0.7709,97
73,88,CleanTS-65M,0.5433,0.7981,97
74,81,tabpfn_ts,0.5441,0.7709,97
75,82,TinyCast,0.5454,0.7738,97
76,70,Kairos_50m,0.5482,0.7422,97
77,87,YingLong_300m,0.5483,0.7981,97
78,77,timesfm_2_0_500m,0.5504,0.7581,97
79,93,Metamorph1.0,0.5520,0.8173,97
80,92,goia-forecast-nano-v0,0.5527,0.8152,97
81,74,Kairos_10m,0.5541,0.7527,97
82,71,Kairos_23m,0.5544,0.7480,97
83,83,Metamorph1.0-4.5M,0.5549,0.7761,97
84,90,YingLong_110m,0.5574,0.8093,97
85,91,PatchFM,0.5576,0.8132,97
86,73,sundial_base_128m,0.5590,0.7502,97
87,95,YingLong_50m,0.5667,0.8224,97
88,89,chronos_bolt_base,0.5743,0.8076,97
89,94,chronos_bolt_small,0.5767,0.8221,97
90,75,TTM-R2-Finetuned,0.5828,0.7561,97
91,97,PatchTST,0.5870,0.8486,97
92,96,FLAIR,0.5871,0.8384,97
93,40,Migas-1.0,0.5975,0.6972,97
94,102,Moirai_large,0.5989,0.8749,97
95,55,ValBestSingle-cmtt,0.6043,0.7070,97
96,109,tft,0.6047,0.9153,97
97,105,YingLong_6m,0.6090,0.8802,97
98,108,Moirai_base,0.6095,0.9010,97
99,58,Reverso,0.6103,0.7112,97
100,104,TimeTron-v2-33M,0.6122,0.8794,97
101,107,iTransformer,0.6203,0.8932,97
102,113,Lingjiang,0.6208,1.0047,97
103,101,litespecformer,0.6212,0.8711,97
